pep_wbs,cycle_name,planned_hours,planned_cost
60IT-INF-01,Jan/2022,41.8,6411.05
60IT-INF-01,Fev/2022,83.5,12806.77
60IT-INF-01,Mar/2022,125.3,19217.82
60IT-INF-01,Abr/2022,167.0,25613.54
60IT-INF-01,Mai/2022,208.8,32024.59
60IT-INF-01,Jun/2022,250.5,38420.31
60IT-INF-01,Jul/2022,292.3,44831.36
60IT-INF-01,Ago/2022,334.0,51227.08
60IT-INF-01,Set/2022,375.8,57638.13
60IT-INF-01,Out/2022,417.5,64033.85
60IT-INF-01,Nov/2022,459.3,70444.9
60IT-INF-01,Dez/2022,501.0,76840.62
60IT-INF-01,Jan/2023,501.0,76840.62
60IT-INF-01,Fev/2023,501.0,76840.62
60IT-INF-01,Mar/2023,501.0,76840.62
60IT-INF-01,Abr/2023,501.0,76840.62
60IT-INF-01,Mai/2023,501.0,76840.62
60IT-INF-01,Jun/2023,501.0,76840.62
60IT-INF-01,Jul/2023,501.0,76840.62
60IT-INF-01,Ago/2023,501.0,76840.62
60IT-INF-01,Set/2023,501.0,76840.62
60IT-INF-01,Out/2023,501.0,76840.62
60IT-INF-01,Nov/2023,501.0,76840.62
60IT-INF-01,Dez/2023,501.0,76840.62
60IT-INF-01,Jan/2024,501.0,76840.62
60IT-INF-01,Fev/2024,501.0,76840.62
60IT-INF-01,Mar/2024,501.0,76840.62
60IT-INF-01,Abr/2024,501.0,76840.62
60IT-INF-01,Mai/2024,501.0,76840.62
60IT-INF-01,Jun/2024,501.0,76840.62
60IT-INF-01,Jul/2024,501.0,76840.62
60IT-INF-01,Ago/2024,501.0,76840.62
60IT-INF-01,Set/2024,501.0,76840.62
60IT-INF-01,Out/2024,501.0,76840.62
60IT-INF-01,Nov/2024,501.0,76840.62
60IT-INF-01,Dez/2024,501.0,76840.62
60IT-INF-01,Jan/2025,501.0,76840.62
60IT-INF-01,Fev/2025,501.0,76840.62
60IT-INF-01,Mar/2025,501.0,76840.62
60IT-INF-01,Abr/2025,501.0,76840.62
60IT-INF-01,Mai/2025,501.0,76840.62
60IT-INF-01,Jun/2025,501.0,76840.62
60IT-INF-01,Jul/2025,501.0,76840.62
60IT-INF-01,Ago/2025,501.0,76840.62
60IT-INF-01,Set/2025,501.0,76840.62
60IT-INF-01,Out/2025,501.0,76840.62
60IT-INF-01,Nov/2025,501.0,76840.62
60IT-INF-01,Dez/2025,501.0,76840.62
60IT-INF-01,Jan/2026,462.5,70935.7
60IT-INF-01,Fev/2026,423.9,65015.44
60IT-INF-01,Mar/2026,385.4,59110.53
60IT-INF-01,Abr/2026,346.9,53205.61
60IT-INF-01,Mai/2026,308.3,47285.35
60IT-INF-01,Jun/2026,269.8,41380.44
60IT-INF-01,Jul/2026,231.2,35460.18
60IT-INF-01,Ago/2026,192.7,29555.26
60IT-INF-01,Set/2026,154.2,23650.35
60IT-INF-01,Out/2026,115.6,17730.09
60IT-INF-01,Nov/2026,77.1,11825.17
60IT-INF-01,Dez/2026,38.5,5904.92
60IT-TRF-01,Jul/2022,49.3,9011.87
60IT-TRF-01,Ago/2022,98.6,18023.75
60IT-TRF-01,Set/2022,148.0,27053.9
60IT-TRF-01,Out/2022,197.3,36065.77
60IT-TRF-01,Nov/2022,246.6,45077.64
60IT-TRF-01,Dez/2022,295.9,54089.52
60IT-TRF-01,Jan/2023,345.2,63101.39
60IT-TRF-01,Fev/2023,394.6,72131.54
60IT-TRF-01,Mar/2023,443.9,81143.42
60IT-TRF-01,Abr/2023,493.2,90155.29
60IT-TRF-01,Mai/2023,542.5,99167.16
60IT-TRF-01,Jun/2023,542.5,99167.16
60IT-TRF-01,Jul/2023,542.5,99167.16
60IT-TRF-01,Ago/2023,542.5,99167.16
60IT-TRF-01,Set/2023,542.5,99167.16
60IT-TRF-01,Out/2023,542.5,99167.16
60IT-TRF-01,Nov/2023,542.5,99167.16
60IT-TRF-01,Dez/2023,542.5,99167.16
60IT-TRF-01,Jan/2024,542.5,99167.16
60IT-TRF-01,Fev/2024,542.5,99167.16
60IT-TRF-01,Mar/2024,542.5,99167.16
60IT-TRF-01,Abr/2024,542.5,99167.16
60IT-TRF-01,Mai/2024,542.5,99167.16
60IT-TRF-01,Jun/2024,542.5,99167.16
60IT-TRF-01,Jul/2024,542.5,99167.16
60IT-TRF-01,Ago/2024,542.5,99167.16
60IT-TRF-01,Set/2024,542.5,99167.16
60IT-TRF-01,Out/2024,542.5,99167.16
60IT-TRF-01,Nov/2024,542.5,99167.16
60IT-TRF-01,Dez/2024,542.5,99167.16
60IT-TRF-01,Jan/2025,542.5,99167.16
60IT-TRF-01,Fev/2025,542.5,99167.16
60IT-TRF-01,Mar/2025,542.5,99167.16
60IT-TRF-01,Abr/2025,542.5,99167.16
60IT-TRF-01,Mai/2025,542.5,99167.16
60IT-TRF-01,Jun/2025,542.5,99167.16
60IT-TRF-01,Jul/2025,542.5,99167.16
60IT-TRF-01,Ago/2025,542.5,99167.16
60IT-TRF-01,Set/2025,542.5,99167.16
60IT-TRF-01,Out/2025,542.5,99167.16
60IT-TRF-01,Nov/2025,542.5,99167.16
60IT-TRF-01,Dez/2025,542.5,99167.16
60IT-TRF-01,Jan/2026,542.5,99167.16
60IT-TRF-01,Fev/2026,497.3,90904.75
60IT-TRF-01,Mar/2026,452.1,82642.35
60IT-TRF-01,Abr/2026,406.9,74379.94
60IT-TRF-01,Mai/2026,361.7,66117.53
60IT-TRF-01,Jun/2026,316.5,57855.13
60IT-TRF-01,Jul/2026,271.3,49592.72
60IT-TRF-01,Ago/2026,226.1,41330.31
60IT-TRF-01,Set/2026,180.8,33049.63
60IT-TRF-01,Out/2026,135.6,24787.22
60IT-TRF-01,Nov/2026,90.4,16524.81
60IT-TRF-01,Dez/2026,45.2,8262.41
60IT-ERP-01,Jan/2022,58.7,8353.06
60IT-ERP-01,Fev/2022,117.4,16706.12
60IT-ERP-01,Mar/2022,176.1,25059.19
60IT-ERP-01,Abr/2022,234.8,33412.25
60IT-ERP-01,Mai/2022,293.5,41765.31
60IT-ERP-01,Jun/2022,352.2,50118.37
60IT-ERP-01,Jul/2022,410.9,58471.43
60IT-ERP-01,Ago/2022,469.6,66824.5
60IT-ERP-01,Set/2022,528.3,75177.56
60IT-ERP-01,Out/2022,587.0,83530.62
60IT-ERP-01,Nov/2022,587.0,83530.62
60IT-ERP-01,Dez/2022,587.0,83530.62
60IT-ERP-01,Jan/2023,587.0,83530.62
60IT-ERP-01,Fev/2023,587.0,83530.62
60IT-ERP-01,Mar/2023,587.0,83530.62
60IT-ERP-01,Abr/2023,587.0,83530.62
60IT-ERP-01,Mai/2023,587.0,83530.62
60IT-ERP-01,Jun/2023,587.0,83530.62
60IT-ERP-01,Jul/2023,587.0,83530.62
60IT-ERP-01,Ago/2023,587.0,83530.62
60IT-ERP-01,Set/2023,587.0,83530.62
60IT-ERP-01,Out/2023,587.0,83530.62
60IT-ERP-01,Nov/2023,587.0,83530.62
60IT-ERP-01,Dez/2023,587.0,83530.62
60IT-ERP-01,Jan/2024,587.0,83530.62
60IT-ERP-01,Fev/2024,587.0,83530.62
60IT-ERP-01,Mar/2024,587.0,83530.62
60IT-ERP-01,Abr/2024,587.0,83530.62
60IT-ERP-01,Mai/2024,587.0,83530.62
60IT-ERP-01,Jun/2024,587.0,83530.62
60IT-ERP-01,Jul/2024,587.0,83530.62
60IT-ERP-01,Ago/2024,587.0,83530.62
60IT-ERP-01,Set/2024,587.0,83530.62
60IT-ERP-01,Out/2024,587.0,83530.62
60IT-ERP-01,Nov/2024,587.0,83530.62
60IT-ERP-01,Dez/2024,587.0,83530.62
60IT-ERP-01,Jan/2025,587.0,83530.62
60IT-ERP-01,Fev/2025,587.0,83530.62
60IT-ERP-01,Mar/2025,533.6,75931.75
60IT-ERP-01,Abr/2025,480.3,68347.12
60IT-ERP-01,Mai/2025,426.9,60748.25
60IT-ERP-01,Jun/2025,373.6,53163.61
60IT-ERP-01,Jul/2025,320.2,45564.74
60IT-ERP-01,Ago/2025,266.8,37965.88
60IT-ERP-01,Set/2025,213.5,30381.24
60IT-ERP-01,Out/2025,160.1,22782.37
60IT-ERP-01,Nov/2025,106.7,15183.5
60IT-ERP-01,Dez/2025,53.4,7598.87
60IT-PLT-01,Jan/2023,51.2,7227.78
60IT-PLT-01,Fev/2023,102.3,14441.44
60IT-PLT-01,Mar/2023,153.5,21669.21
60IT-PLT-01,Abr/2023,204.7,28896.99
60IT-PLT-01,Mai/2023,255.8,36110.65
60IT-PLT-01,Jun/2023,307.0,43338.43
60IT-PLT-01,Jul/2023,358.2,50566.2
60IT-PLT-01,Ago/2023,409.4,57793.98
60IT-PLT-01,Set/2023,460.5,65007.64
60IT-PLT-01,Out/2023,511.7,72235.42
