seniority_level,valid_from,valid_to,hourly_rate
Arquiteto,2022-01-01,2022-12-31,200.00
Arquiteto,2023-01-01,2023-12-31,220.00
Arquiteto,2024-01-01,2024-12-31,240.00
Arquiteto,2025-01-01,2025-12-31,260.00
Arquiteto,2026-01-01,,275.00
Especialista,2022-01-01,2022-12-31,160.00
Especialista,2023-01-01,2023-12-31,175.00
Especialista,2024-01-01,2024-12-31,190.00
Especialista,2025-01-01,2025-12-31,205.00
Especialista,2026-01-01,,215.00
Sênior,2022-01-01,2022-12-31,120.00
Sênior,2023-01-01,2023-12-31,132.00
Sênior,2024-01-01,2024-12-31,145.00
Sênior,2025-01-01,2025-12-31,158.00
Sênior,2026-01-01,,165.00
Pleno,2022-01-01,2022-12-31,80.00
Pleno,2023-01-01,2023-12-31,88.00
Pleno,2024-01-01,2024-12-31,97.00
Pleno,2025-01-01,2025-12-31,106.00
Pleno,2026-01-01,,112.00
Júnior,2022-01-01,2022-12-31,50.00
Júnior,2023-01-01,2023-12-31,55.00
Júnior,2024-01-01,2024-12-31,61.00
Júnior,2025-01-01,2025-12-31,67.00
Júnior,2026-01-01,,71.00
Trainee,2022-01-01,2022-12-31,25.00
Trainee,2023-01-01,2023-12-31,28.00
Trainee,2024-01-01,2024-12-31,31.00
Trainee,2025-01-01,2025-12-31,34.00
Trainee,2026-01-01,,36.00
